Specie,Supply_Type,Total_MORFO_Supply_Kg
Guettarda pohliana,supplier_2ry,0.003
Guettarda viburnioides,pilot_top,0.333
Guettarda viburnoides,pilot_top,2.25
Gustavia Augusta,supplier_2ry,0.003
Hancornia speciosa,pilot_top,0.333
Hancornia speciosa,supplier_top,1
Handroanthus albus,pilot_top,0.633
Handroanthus chrysotrichus,supplier_2ry,3.667
Handroanthus chrysotrichus,supplier_top,10.667
Handroanthus heptaphyllus,pilot_top,27.535
Handroanthus heptaphyllus,supplier_2ry,1.333
Handroanthus heptaphyllus,supplier_top,12.333
Handroanthus impetiginosus,pilot_top,90.233
Handroanthus impetiginosus,supplier_2ry,22.067
Handroanthus impetiginosus,supplier_top,184.334
Handroanthus ochraceus,pilot_top,0.333
Handroanthus ochraceus,supplier_top,18.5
Handroanthus serratifolius,pilot_top,0.623
Handroanthus serratifolius,supplier_2ry,16.67
Handroanthus serratifolius,supplier_top,112.966
Handroanthus sp.,pilot_top,1445
Handroanthus vellosoi,supplier_2ry,0.167
Heisteria ovata,supplier_2ry,266.667
Helianthus annuus,supplier_2ry,0
Heliocarpus popayanensis,supplier_2ry,5.333
Heliocarpus popayanensis,supplier_top,0.834
Heteropterys byrsonimifolia,pilot_top,0.333
Hevea brasiliensis,supplier_2ry,3.333
Himatanthus articulatus,pilot_top,0.333
Himatanthus bracteatus,supplier_2ry,0
Himatanthus obovatus,supplier_top,1.167
Himatanthus sucuuba,supplier_top,13.333
Himenolobium petraeum,pilot_top,3.333
Hirtella glandulosa,pilot_top,0.667
Hydrochorea corymbosa,supplier_2ry,66.667
Hyeronima alchorneoides,supplier_top,4
Hymenaea courbaril,pilot_top,10524.52
Hymenaea courbaril,supplier_2ry,353.34
Hymenaea courbaril,supplier_top,3370.866
Hymenaea intermedia,supplier_2ry,0.003
Hymenaea intermedia,supplier_top,100
Hymenaea oblongifolia,supplier_top,353.333
Hymenaea parvifolia,pilot_top,13.857
Hymenaea parvifolia,supplier_2ry,10
Hymenaea sp.,supplier_2ry,0.003
Hymenaea stigonocarpa,pilot_top,7
Hymenaea stigonocarpa,supplier_2ry,10.003
Hymenaea stigonocarpa,supplier_top,834.634
Hymenolobium petraeum,supplier_2ry,26.667
Hymenolobium pulcherrimum,supplier_2ry,50
Hyparrhenia bracteata,supplier_top,43.667
Inconnu,supplier_2ry,0.015
Inga edulis,pilot_top,17.367
Inga edulis,supplier_2ry,0
Inga laurina,supplier_2ry,66.667
Inga paraensis,pilot_top,7.2
Inga sp.,pilot_top,3.55
